Country,SI Lab,PR,AP,DI,AS,ST,RE,OT,Lab Team Size,Thematic Focus
Brazil,A,5,2,2,1,1,2,-,13,Urban Flood and Heat Island Management
Brazil,B,1,1,1,1,-,-,-,4,SI and Community Development
Brazil,C,6,1,-,-,3,-,-,10,Urban Sustainable Development & Community Resilience
Colombia,D,3,-,2,-,-,1,1,7,Coffee Production and Watersheds
Colombia,E,3,1,1,1,-,-,-,6,Institutional Capacity for Climate Change
Colombia,F,2,-,1,-,-,-,1,4,Sustainable Water Governance
Colombia,G,1,-,3,1,-,-,-,5,Climate Variability and Pollinators
Colombia,H,2,-,1,2,-,-,-,5,Women's and Children's Resilience and Climate Change
Mexico,I,1,-,3,1,-,-,-,5,Waste Management and Circular Economy
Mexico,J,3,-,2,-,-,-,1,6,Sustainable Food Production
Total,,27,5,16,7,4,3,3,65,Climate lab community
